id;name;email;password;nama_lengkap
1;admin;admin@mail.com;asdf1234;ADMINISTRATOR
2;arsip;arsip@mail.com;arsip_pd_02;DINAS KEARSIPAN DAN PERPUSTAKAAN
3;bappeda;bappeda@mail.com;bappeda_pd_03;BADAN PERENCANAAN PEMBANGUNAN DAERAH
4;bpdb;bpdb@mail.com;bpbd_pd_04;BADAN PENANGGULANGAN BENCANA DAERAH
5;bpkad;bpkad@mail.com;bpkad_pd_05;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH
6;damkar;damkar@mail.com;damkar_pd_06;DINAS PEMADAM KEBAKARAN
7;dinaspu;dinaspu@mail.com;pu_pd_07;DINAS PEKERJAAN UMUM
8;dinkes;dinkes@mail.com;dinkes_pd_08;DINAS KESEHATAN
9;dinsos;dinsos@mail.com;dinsos_pd_09;DINAS SOSIAL
10;disbudpora;disbudpora@mail.com;disbudpora_pd_10;DINAS KEBUDAYAAN KEPEMUDAAN DAN OLAH RAGA
11;disdik;disdik@mail.com;disdik_pd_11;DINAS PENDIDIKAN
12;disdukcapil;disdukcapil@mail.com;disdukcapil_pd_12;DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL
13;dishub;dishub@mail.com;dishub_pd_13;DINAS PERHUBUNGAN
14;dislutkan;dislutkan@mail.com;dislutkan_pd_14;DINAS KELAUTAN DAN PERIKANAN
15;disnakertrans;disnakertrans@mail.com;disnakertrans_pd_15;DINAS TENAGA KERJA DAN TRANSMIGRASI
16;disperkapsih;disperkapsih@mail.com;disperkimsih_pd_16;DINAS PERUMAHAN RAKYAT KAWASAN PERMUKIMAN DAN KEBERSIHAN
17;dispertaru;dispertaru@mail.com;dispertaru_pd_17;DINAS PERTANAHAN DAN TATA RUANG
18;dpesdm;dpesdm@mail.com;dpesdm_pd_18;DINAS PERINDUSTRIAN DAN ENERGI SUMBER DAYA MINERAL
19;dpkukm;dpkukm@mail.com;dpukm_pd_19;DINAS PERDAGANGAN KOPERASI USAHA KECIL DAN MENENGAH
20;dppkb;dppkb@mail.com;dppkb_pd_20;DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA
21;dpppa;dpppa@mail.com;dpppa_pd_21;DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK
22;inspektorat;inspektorat@mail.com;inspektorat_pd_22;INSPEKTORAT
23;kepegawaian;kepegawaian@mail.com;bkpsdm_pd_23;BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA
24;kesbangpol;kesbangpol@mail.com;kesbangpol_pd_24;KANTOR KESATUAN BANGSA DAN POLITIK
25;kominfo;kominfo@mail.com;kominfo_pd_25;DINAS KOMUNIKASI INFORMATIKA DAN PERSANDIAN
26;korpri;korpri@mail.com;korpri_pd_26;SEKRETARIAT DPK KORPRI
27;lingkunganhidup;lingkunganhidup@mail.com;lh_pd_27;DINAS LINGKUNGAN HIDUP
28;masyarakatdesa;masyarakatdesa@mail.com;dpmd_pd_28;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA
29;pangan;pangan@mail.com;ketapang_pd_29;DINAS KETAHANAN PANGAN DAN PENYULUHAN
30;pariwisata;pariwisata@mail.com;dispar_pd_30;DINAS PARIWISATA
31;pendapatan;pendapatan@mail.com;bapenda_pd_31;BADAN PENDAPATAN DAERAH
32;perizinan;perizinan@mail.com;izin_pd_32;DINAS PENANAMAN MODAL DAN PERIZINAN TERPADU SATU PINTU
33;pertanian;pertanian@mail.com;distan_pd_33;DINAS PERTANIAN
34;peternakan;peternakan@mail.com;disnak_pd_34;DINAS PETERNAKAN
35;polpp;polpp@mail.com;polpp_pd_35;SATUAN POLISI PAMONG PRAJA
36;rspalabuhan;rspalabuhan@mail.com;rsplara_pd_36;RSUD PALABUHANRATU
37;sekarwangi;sekarwangi@mail.com;rssekar_pd_37;RSUD SEKARWANGI
38;sekredprd;sekredprd@mail.com;sekredprd_pd_38;SEKRETARIAT DPRD
39;setda;setda@mail.com;setda_pd_39;SEKRETARIAT DAERAH
40;ciambar;ciambar@mail.com;ciambar_pd_40;CIAMBAR
41;cisaat;cisaat@mail.com;cisaat_pd_41;CISAAT
42;nagrak;nagrak@mail.com;nagrak_pd_42;NAGRAK
43;cidahu;cidahu@mail.com;cidahu_pd_43;CIDAHU
44;parungkuda;parungkuda@mail.com;parungkuda_pd_44;PARUNGKUDA
45;kalibunder;kalibunder@mail.com;kalibunder_pd_45;KALIBUNDER
46;tegalbuleud;tegalbuleud@mail.com;tegalbuleud_pd_46;TEGALBULEUD
47;cicurug;cicurug@mail.com;cicurug_pd_47;CICURUG
48;cidadap;cidadap@mail.com;cidadap_pd_48;CIDADAP
49;jampangtengah;jampangtengah@mail.com;jampangtengah_pd_49;JAMPANGTENGAH
50;bantargadung;bantargadung@mail.com;bantargadung_pd_50;BANTARGADUNG
51;warungkiara;warungkiara@mail.com;warungkiara_pd_51;WARUNGKIARA
52;pabuaran;pabuaran@mail.com;pabuaran_pd_52;PABUARAN
53;cibitung;cibitung@mail.com;cibitung_pd_53;CIBITUNG
54;cibadak;cibadak@mail.com;cibadak_pd_54;CIBADAK
55;cireunghas;cireunghas@mail.com;cireunghas_pd_55;CIREUNGHAS
56;bojonggenteng;bojonggenteng@mail.com;bojonggenteng_pd_56;BOJONGGENTENG
57;cikembar;cikembar@mail.com;cikembar_pd_57;CIKEMBAR
58;jampangkulon;jampangkulon@mail.com;jampangkulon_pd_58;JAMPANGKULON
59;curugkembar;curugkembar@mail.com;curugkembar_pd_59;CURUGKEMBAR
60;parakansalak;parakansalak@mail.com;parakansalak_pd_60;PARAKANSALAK
61;nyalindung;nyalindung@mail.com;nyalindung_pd_61;NYALINDUNG
62;kebonpedes;kebonpedes@mail.com;kebonpedes_pd_62;KEBONPEDES
63;cimanggu;cimanggu@mail.com;cimanggu_pd_63;CIMANGGU
64;cikidang;cikidang@mail.com;cikidang_pd_64;CIKIDANG
65;surade;surade@mail.com;surade_pd_65;SURADE
66;palabuhanratu;palabuhanratu@mail.com;palabuhanratu_pd_66;PALABUHANRATU
67;geger bitung;geger bitung@mail.com;geger bitung_pd_67;GEGER BITUNG
68;cisolok;cisolok@mail.com;cisolok_pd_68;CISOLOK
69;caringin;caringin@mail.com;caringin_pd_69;CARINGIN
70;waluran;waluran@mail.com;waluran_pd_70;WALURAN
71;kabandungan;kabandungan@mail.com;kabandungan_pd_71;KABANDUNGAN
72;sagaranten;sagaranten@mail.com;sagaranten_pd_72;SAGARANTEN
73;ciemas;ciemas@mail.com;ciemas_pd_73;CIEMAS
74;gunungguruh;gunungguruh@mail.com;gunungguruh_pd_74;GUNUNGGURUH
75;simpenan;simpenan@mail.com;simpenan_pd_75;SIMPENAN
76;cicantayan;cicantayan@mail.com;cicantayan_pd_76;CICANTAYAN
77;purabaya;purabaya@mail.com;purabaya_pd_77;PURABAYA
78;cidolog;cidolog@mail.com;cidolog_pd_78;CIDOLOG
79;kadudampit;kadudampit@mail.com;kadudampit_pd_79;KADUDAMPIT
80;cikakak;cikakak@mail.com;cikakak_pd_80;CIKAKAK
81;ciracap;ciracap@mail.com;ciracap_pd_81;CIRACAP
82;lengkong;lengkong@mail.com;lengkong_pd_82;LENGKONG
83;sukalarang;sukalarang@mail.com;sukalarang_pd_83;SUKALARANG
84;sukaraja;sukaraja@mail.com;sukaraja_pd_84;SUKARAJA
85;kalapanunggal;kalapanunggal@mail.com;kalapanunggal_pd_85;KALAPANUNGGAL
86;sukabumi;sukabumi@mail.com;sukabumi_pd_86;SUKABUMI
88;bidangpe;bidangpe@mail.com;bidangpe_89;BIDANG PENELITIAN DAN EVALUASI
89;bidangpmm;bidangpmm@mail.com;bidangpm_90;BIDANG PEMBANGUNAN MANUSIA DAN MASYARAKAT
90;bidangesda;bidangesda@mail.com;bidangesda_91;BIDANG EKONOMI DAN SUMBER DAYA ALAM
91;bidangipw;bidangipw@mail.com;bidangipw_92;BIDANG INFRASTRUKTUR DAN PENGEMBANGAN WILAYAH
92;ambarjaya-ciambar;ambarjaya-ciambar@mail.com;ambarjaya_93;AMBARJAYA
93;babakan-cisaat;babakan-cisaat@mail.com;babakan_94;BABAKAN
94;babakanpanjang-nagrak;babakanpanjang-nagrak@mail.com;babakan panjang_95;BABAKANPANJANG
95;babakanpari-cidahu;babakanpari-cidahu@mail.com;babakan pari_96;BABAKANPARI
96;babakanjaya-parungkuda;babakanjaya-parungkuda@mail.com;babakanjaya_97;BABAKANJAYA
97;balekambang-kalibunder;balekambang-kalibunder@mail.com;balekambang_98;BALEKAMBANG
98;balekambang-nagrak;balekambang-nagrak@mail.com;balekambang_99;BALEKAMBANG
99;bangbayang-tegalbuleud;bangbayang-tegalbuleud@mail.com;bangbayang_100;BANGBAYANG
100;bangbayang-cicurug;bangbayang-cicurug@mail.com;bangbayang_101;BANGBAYANG
101;banjarsari-cidadap;banjarsari-cidadap@mail.com;banjarsari_102;BANJARSARI
102;bantaragung-jampangtengah;bantaragung-jampangtengah@mail.com;bantar agung_103;BANTARAGUNG
